Barcode,Sample
Kinnex16S_Fwd_12--Kinnex16S_Rev_32,PA3151
Kinnex16S_Fwd_12--Kinnex16S_Rev_31,PA4005
Kinnex16S_Fwd_12--Kinnex16S_Rev_30,PA4008
Kinnex16S_Fwd_12--Kinnex16S_Rev_29,PA4017
Kinnex16S_Fwd_01--Kinnex16S_Rev_44,PA4022
Kinnex16S_Fwd_01--Kinnex16S_Rev_43,PA4023
Kinnex16S_Fwd_01--Kinnex16S_Rev_42,PA4027
Kinnex16S_Fwd_01--Kinnex16S_Rev_41,PA4032
Kinnex16S_Fwd_01--Kinnex16S_Rev_40,PA4033
Kinnex16S_Fwd_01--Kinnex16S_Rev_39,PA4037
Kinnex16S_Fwd_01--Kinnex16S_Rev_38,PA4059
Kinnex16S_Fwd_01--Kinnex16S_Rev_37,PA4060
Kinnex16S_Fwd_02--Kinnex16S_Rev_44,PA4065
Kinnex16S_Fwd_02--Kinnex16S_Rev_43,PA4067
Kinnex16S_Fwd_02--Kinnex16S_Rev_42,PA4068
Kinnex16S_Fwd_02--Kinnex16S_Rev_41,PA4069
Kinnex16S_Fwd_02--Kinnex16S_Rev_40,PA4070
Kinnex16S_Fwd_02--Kinnex16S_Rev_39,PA4077
Kinnex16S_Fwd_02--Kinnex16S_Rev_38,PA3080
Kinnex16S_Fwd_02--Kinnex16S_Rev_37,PA3101
Kinnex16S_Fwd_03--Kinnex16S_Rev_44,PA3110
Kinnex16S_Fwd_03--Kinnex16S_Rev_43,PA3127
Kinnex16S_Fwd_03--Kinnex16S_Rev_42,PA3130
Kinnex16S_Fwd_03--Kinnex16S_Rev_41,PA3131
Kinnex16S_Fwd_03--Kinnex16S_Rev_40,s9_25t
Kinnex16S_Fwd_03--Kinnex16S_Rev_39,s9_26t
Kinnex16S_Fwd_03--Kinnex16S_Rev_38,s9_27t
Kinnex16S_Fwd_03--Kinnex16S_Rev_37,s9_28t
Kinnex16S_Fwd_04--Kinnex16S_Rev_44,s9_29t
Kinnex16S_Fwd_04--Kinnex16S_Rev_43,s9_30t
Kinnex16S_Fwd_04--Kinnex16S_Rev_42,s9_31t
Kinnex16S_Fwd_04--Kinnex16S_Rev_41,s9_32t
Kinnex16S_Fwd_04--Kinnex16S_Rev_40,s9_33t
Kinnex16S_Fwd_04--Kinnex16S_Rev_39,s9_34t
Kinnex16S_Fwd_04--Kinnex16S_Rev_38,s9_35t
Kinnex16S_Fwd_04--Kinnex16S_Rev_37,s9_36t
Kinnex16S_Fwd_05--Kinnex16S_Rev_44,neg38
